pos_x,pos_y,speed,target_speed,yaw,lap_dist,spline_pos
-193.7157,368.1656,76.911,24.375,-0.58257,1.15,0.00025
-192.4306,367.3193,76.9659,25.3006,-0.58237,2.75,0.000599
-191.1445,366.4726,77.0188,26.1031,-0.582214,4.14,0.000902
-189.8573,365.6255,77.076,27.039,-0.582032,5.76,0.001255
-188.5573,364.7704,77.1311,27.9718,-0.581834,7.38,0.001607
-187.268,363.9226,77.1846,28.7758,-0.581662,8.77,0.00191
-185.9774,363.0743,77.2484,29.7108,-0.581486,10.39,0.002263
-184.6859,362.2256,77.3009,30.6451,-0.581343,12.01,0.002616
-183.3933,361.3767,77.3403,31.4491,-0.581095,13.4,0.002919
-182.0997,360.5276,77.4007,32.3907,-0.580908,15.04,0.003275
-180.7788,359.6609,77.4632,32.591,-0.580652,16.66,0.003629
-179.4829,358.811,77.5158,32.5992,-0.580477,18.05,0.003932
-178.1859,357.9606,77.5723,32.6094,-0.580351,19.68,0.004286
-176.888,357.1098,77.615,32.6182,-0.580203,21.31,0.004641
-175.5892,356.2589,77.6576,32.6252,-0.580027,22.71,0.004946
-174.2894,355.4076,77.7162,32.6369,-0.579837,24.34,0.005301
-172.9884,354.556,77.7809,32.6435,-0.579609,25.98,0.005657
-171.6862,353.7039,77.8361,32.6522,-0.57942,27.38,0.005962
-170.3829,352.8515,77.8912,32.663,-0.579209,29.01,0.006317
-169.0786,351.9987,77.9432,32.6706,-0.579046,30.65,0.006674
-167.7733,351.1456,77.9915,32.6784,-0.578894,32.05,0.006981
-166.4671,350.292,78.0438,32.6876,-0.578825,33.68,0.007336
-165.1592,349.4375,78.0907,32.6939,-0.578738,35.36,0.0077
-163.8514,348.583,78.1328,32.7,-0.578722,36.61,0.007974
-162.5427,347.7279,78.1893,32.7107,-0.578733,38.45,0.008374
-161.233,346.8724,78.2459,32.7234,-0.578653,41.23,0.008979
-159.9224,346.0163,78.2966,32.7239,-0.578632,41.34,0.009003
-158.5922,345.1474,78.3524,32.7338,-0.578637,43.07,0.00938
-157.2489,344.2698,78.4008,32.7401,-0.578677,44.72,0.009738
-155.9358,343.412,78.4489,32.7485,-0.578656,46.37,0.010097
-154.6219,342.5537,78.4891,32.7568,-0.578656,47.77,0.010404
-153.3034,341.6924,78.5377,32.7683,-0.578635,49.43,0.010764
-151.9878,340.8331,78.5965,32.7795,-0.578641,51.08,0.011124
-150.6714,339.9732,78.6446,32.7915,-0.578593,52.49,0.011431
-149.354,339.1128,78.6987,32.8067,-0.578578,54.14,0.011791
-148.0358,338.2519,78.7459,32.8208,-0.578546,55.8,0.012152
-146.7169,337.3904,78.7923,32.8323,-0.578638,57.21,0.01246
-145.3971,336.5281,78.8473,32.8485,-0.578714,58.88,0.012822
-144.0766,335.6653,78.8977,32.8591,-0.578736,60.53,0.013182
-142.7552,334.8019,78.9403,32.8719,-0.578763,61.95,0.013491
-141.4331,333.9381,78.9866,32.8868,-0.578736,63.61,0.013853
-140.1103,333.0739,79.0172,32.8984,-0.578703,65.27,0.014214
-138.7869,332.2094,79.0653,32.9089,-0.578702,66.69,0.014524
-137.4625,331.3441,79.13,32.923,-0.57872,68.35,0.014885
-136.1313,330.4743,79.1839,32.9354,-0.57873,70.02,0.015248
-134.8053,329.6077,79.2272,32.9467,-0.578855,71.44,0.015557
-133.4785,328.7404,79.2811,32.9615,-0.578973,73.11,0.015921
