pos_x,pos_y,speed,yaw,lap_dist,spline_pos
-762.1808,-4.8731,70.2616,0.016446,1.33,0.000263
-759.3674,-4.8399,70.4261,0.015543,4.08,0.000803
-756.547,-4.8161,70.5651,0.003291,6.83,0.001345
-753.7235,-4.8063,70.5947,-0.008128,9.79,0.001929
-750.8988,-4.8074,70.6762,-0.010454,12.55,0.002472
-748.0689,-4.8145,70.8237,-0.005033,15.31,0.003015
-745.2322,-4.8208,71.0126,0.001216,18.29,0.003602
-742.3882,-4.8192,71.1956,0.007922,21.06,0.004148
-739.5369,-4.8071,71.3712,0.012472,23.84,0.004696
-736.6784,-4.7892,71.558,0.010929,26.84,0.005287
-733.8135,-4.7723,71.6955,0.005536,29.63,0.005837
-730.9415,-4.7601,71.9037,-0.000281,32.43,0.006389
-728.0615,-4.7587,72.0851,-0.00625,35.53,0.006998
-725.1754,-4.7696,72.2406,-0.012076,38.22,0.007527
-722.2823,-4.7903,72.4158,-0.014007,40.94,0.008063
-719.3821,-4.8158,72.5979,-0.011006,44.14,0.008694
-716.4749,-4.8386,72.7741,-0.004854,46.98,0.009253
-713.561,-4.854,72.9304,0.00183,49.82,0.009812
-710.6403,-4.8602,73.108,0.005502,52.88,0.010416
-707.713,-4.8592,73.2564,0.006154,55.74,0.010979
-704.78,-4.8551,73.4156,0.003965,58.6,0.011542
-701.8393,-4.8528,73.6204,-0.000395,61.69,0.01215
-698.8914,-4.8531,73.7733,-0.002236,64.56,0.012717
-695.9378,-4.855,73.9077,-0.001442,67.44,0.013284
-692.9782,-4.8556,74.1022,0.00134,70.55,0.013896
-690.011,-4.8536,74.2634,0.003506,73.44,0.014466
-687.0377,-4.8502,74.4059,0.002797,76.34,0.015037
-684.0579,-4.85,74.5898,-0.001301,79.47,0.015653
-681.0714,-4.853,74.7416,-0.003164,82.38,0.016227
-678.0787,-4.8577,74.8794,-0.002228,85.3,0.016802
-675.0807,-4.8622,75.0457,-0.000609,88.45,0.017422
-672.0757,-4.866,75.2062,0.000546,91.38,0.017999
-669.0646,-4.8673,75.3522,0.002324,94.31,0.018576
-666.0474,-4.8636,75.5104,0.005184,97.48,0.019201
-663.0242,-4.8551,75.6537,0.006967,100.43,0.019782
-659.9952,-4.8432,75.8052,0.006953,103.38,0.020364
-656.9599,-4.8299,75.9583,0.00566,106.57,0.020992
-653.9189,-4.8149,76.1069,0.005858,109.54,0.021576
-650.8718,-4.7985,76.2589,0.006683,112.51,0.022161
-647.8186,-4.7809,76.4073,0.007167,115.72,0.022793
-644.7597,-4.7625,76.5419,0.007067,118.7,0.02338
-641.6951,-4.7444,76.6936,0.006237,121.69,0.023969
-638.6245,-4.7276,76.8465,0.005064,124.91,0.024604
-635.5482,-4.7115,76.9714,0.0052,127.91,0.025194
